Mag,Lat,Long,Depth,Region,Status,CloserCity
3.9,0.93° N,79.55° W,1.4,Near Coast of Ecuador,M,"11.93km Esmeraldas,Esmeraldas"
3.2,0.16° S,80.69° W,2.2,Near Coast of Ecuador,M,"48.15km Jama,Manabi"
3.2,0.23° S,80.65° W,5,Near Coast of Ecuador,M,"42.80km Jama,Manabi"
3.7,0.50° S,80.40° W,10.2,Ecuador - Manabi,M,"11.25km San Vicente,Manabi"
3.5,0.91° N,79.58° W,8.3,Near Coast of Ecuador,M,"10.44km Esmeraldas,Esmeraldas"
3.8,0.93° N,79.56° W,3.3,Near Coast of Ecuador,M,"10.70km Esmeraldas,Esmeraldas"
3.9,1.74° S,77.72° W,195.3,Ecuador - Pastaza,M,"42.10km Puyo,Pastaza"
4.8,3.33° S,80.03° W,26.7,Ecuador - El Oro,M,"11.53km Machala,El Oro"
3.8,0.96° N,79.56° W,1.7,Near Coast of Ecuador,M,"10.32km Esmeraldas,Esmeraldas"
3.9,3.07° S,78.00° W,1.6,Ecuador - Morona Santiago,M,"70.70km Sucua,Morona Stgo"
3.6,1.36° N,79.63° W,1.5,Near Coast of Ecuador,M,"43.73km Esmeraldas,Esmeraldas"
3.8,0.27° S,80.55° W,2.1,Near Coast of Ecuador,M,"33.38km Jama,Manabi"
3.4,1.60° S,80.91° W,3,Near Coast of Ecuador,M,"13.03km Puerto Lopez,Manabi"
3.5,0.53° S,80.78° W,5,Near Coast of Ecuador,M,"40.04km Bahia de Caraquez,Manabi"
4,0.97° N,79.49° W,-,Near Coast of Ecuador,M,"18.35km Esmeraldas,Esmeraldas"
3.9,0.34° S,81.03° W,7.7,Off Coast of Ecuador,M,"73.65km Bahia de Caraquez,Manabi"
3.6,0.95° N,79.52° W,4.6,Near Coast of Ecuador,M,"14.64km Esmeraldas,Esmeraldas"
3,0.97° N,79.44° W,20,Near Coast of Ecuador,M,"23.83km Esmeraldas,Esmeraldas"
3.5,0.92° N,79.36° W,10,Near Coast of Ecuador,M,"32.64km Esmeraldas,Esmeraldas"
3.6,1.59° S,80.90° W,23,Near Coast of Ecuador,M,"11.85km Puerto Lopez,Manabi"
3.9,0.96° N,79.44° W,10,Near Coast of Ecuador,M,"23.23km Esmeraldas,Esmeraldas"
4.3,0.96° N,79.46° W,10,Near Coast of Ecuador,M,"21.85km Esmeraldas,Esmeraldas"
3.3,0.89° N,79.56° W,5.9,Near Coast of Ecuador,M,"13.39km Esmeraldas,Esmeraldas"
4.6,0.21° N,80.02° W,12.5,Ecuador - Manabi,M,"15.63km Pedernales,Manabi"
3.6,1.01° N,79.56° W,2.6,Near Coast of Ecuador,M,"11.43km Esmeraldas,Esmeraldas"
4.3,0.94° N,79.51° W,2.3,Near Coast of Ecuador,M,"15.63km Esmeraldas,Esmeraldas"
3.2,0.88° N,79.50° W,4.2,Near Coast of Ecuador,M,"19.48km Esmeraldas,Esmeraldas"
3.3,0.94° N,79.54° W,1.3,Near Coast of Ecuador,M,"12.88km Esmeraldas,Esmeraldas"
4,0.95° N,79.39° W,6.3,Near Coast of Ecuador,M,"29.62km Esmeraldas,Esmeraldas"
4.1,0.92° N,79.51° W,3.8,Near Coast of Ecuador,M,"17.15km Esmeraldas,Esmeraldas"
3.3,0.94° N,79.52° W,4.6,Near Coast of Ecuador,M,"14.67km Esmeraldas,Esmeraldas"
3.4,0.96° N,79.46° W,4.7,Near Coast of Ecuador,M,"21.60km Esmeraldas,Esmeraldas"
3.4,0.96° N,79.47° W,2.6,Near Coast of Ecuador,M,"20.21km Esmeraldas,Esmeraldas"
3.6,0.94° N,79.54° W,4.3,Near Coast of Ecuador,M,"12.28km Esmeraldas,Esmeraldas"
3.1,0.95° N,79.46° W,5,Near Coast of Ecuador,M,"21.14km Esmeraldas,Esmeraldas"
4.8,0.96° N,79.56° W,4.4,Near Coast of Ecuador,M,"10.64km Esmeraldas,Esmeraldas"
4,0.37° S,81.04° W,10,Off Coast of Ecuador,M,"73.90km Bahia de Caraquez,Manabi"
4.4,0.35° S,81.32° W,14.1,Off Coast of Ecuador,M,"96.38km Manta,Manabi"
3.9,0.36° S,81.10° W,2,Off Coast of Ecuador,M,"80.47km Manta,Manabi"
4.1,0.95° N,79.48° W,10,Near Coast of Ecuador,M,"18.98km Esmeraldas,Esmeraldas"
4.6,0.37° S,81.09° W,9.1,Off Coast of Ecuador,M,"78.85km Bahia de Caraquez,Manabi"
4.3,0.37° S,81.08° W,10,Off Coast of Ecuador,M,"78.15km Bahia de Caraquez,Manabi"
3.9,1.50° S,81.10° W,10,Off Coast of Ecuador,M,"33.58km Puerto Lopez,Manabi"
3.9,2.34° S,77.55° W,156.8,Ecuador - Morona Santiago,M,"63.26km Macas,Morona Stgo"
3.6,0.27° S,81.06° W,10,Off Coast of Ecuador,M,"80.84km Bahia de Caraquez,Manabi"
4.7,0.18° S,81.06° W,10,Off Coast of Ecuador,M,"85.32km Bahia de Caraquez,Manabi"
3.5,0.19° N,79.99° W,12.9,Near Coast of Ecuador,M,"14.86km Pedernales,Manabi"
5.9,0.60° N,79.88° W,8.7,Near Coast of Ecuador,M,"15.22km Muisne,Esmeraldas"
3.3,0.62° N,79.89° W,6.1,Near Coast of Ecuador,M,"14.32km Muisne,Esmeraldas"
6.2,0.59° N,79.77° W,10.1,Near Coast of Ecuador,M,"28.07km Muisne,Esmeraldas"
3.2,0.60° N,79.79° W,18.9,Near Coast of Ecuador,M,"26.18km Muisne,Esmeraldas"
4.3,0.70° N,79.70° W,6.1,Near Coast of Ecuador,M,"24.95km Atacames,Esmeraldas"
4.4,0.95° N,79.53° W,2.4,Near Coast of Ecuador,M,"13.83km Esmeraldas,Esmeraldas"
4,0.97° N,79.55° W,5,Near Coast of Ecuador,M,"11.64km Esmeraldas,Esmeraldas"
3.7,0.97° N,79.53° W,2.2,Near Coast of Ecuador,M,"13.73km Esmeraldas,Esmeraldas"
3.4,0.92° N,79.53° W,5,Near Coast of Ecuador,M,"14.63km Esmeraldas,Esmeraldas"
3.5,0.95° N,79.59° W,10,Near Coast of Ecuador,M,"7.29km Esmeraldas,Esmeraldas"
3.3,0.92° N,79.52° W,5.3,Near Coast of Ecuador,M,"15.37km Esmeraldas,Esmeraldas"
4.4,1.13° S,81.34° W,-,Off Coast of Ecuador,M,"72.29km Manta,Manabi"
3.8,0.94° N,79.55° W,5,Near Coast of Ecuador,M,"12.16km Esmeraldas,Esmeraldas"
3.6,0.56° S,81.27° W,10,Off Coast of Ecuador,M,"77.43km Manta,Manabi"
4.2,0.65° S,80.95° W,10,Near Coast of Ecuador,M,"44.25km Manta,Manabi"
3.5,1.53° S,80.91° W,-,Near Coast of Ecuador,M,"12.24km Puerto Lopez,Manabi"
3.4,0.11° S,80.96° W,5.2,Near Coast of Ecuador,M,"77.86km Jama,Manabi"
4.3,0.62° N,80.16° W,7.9,Near Coast of Ecuador,M,"15.82km Muisne,Esmeraldas"
3.5,1.14° S,81.01° W,-,Off Coast of Ecuador,M,"38.13km Manta,Manabi"
3.4,1.57° S,81.05° W,-,Off Coast of Ecuador,M,"27.50km Puerto Lopez,Manabi"
4.7,1.23° N,80.04° W,10,Off Coast of Ecuador,M,"45.57km Atacames,Esmeraldas"
3.1,1.65° S,80.94° W,2.8,Near Coast of Ecuador,M,"18.22km Puerto Lopez,Manabi"
3.2,0.11° S,80.32° W,10.3,Near Coast of Ecuador,M,"11.59km Jama,Manabi"
3.2,0.75° N,80.26° W,9.4,Near Coast of Ecuador,M,"30.44km Muisne,Esmeraldas"
4.5,0.17° S,80.98° W,5.1,Near Coast of Ecuador,M,"79.35km Bahia de Caraquez,Manabi"
4.6,0.18° S,80.98° W,3.7,Near Coast of Ecuador,M,"78.32km Bahia de Caraquez,Manabi"
3.3,0.12° S,80.73° W,5,Near Coast of Ecuador,M,"52.49km Jama,Manabi"
4,0.97° S,80.62° W,4.4,Near Coast of Ecuador,M,"2.48km Jaramijo,Manabi"
3.5,0.09° S,80.33° W,12.7,Near Coast of Ecuador,M,"14.38km Jama,Manabi"
3.6,0.09° S,80.26° W,7.9,Near Coast of Ecuador,M,"12.22km Jama,Manabi"
3.6,0.10° S,80.95° W,2.1,Near Coast of Ecuador,M,"76.71km Jama,Manabi"
3.1,0.46° N,80.14° W,10.3,Near Coast of Ecuador,M,"21.03km Muisne,Esmeraldas"
3,0.30° S,80.03° W,19.8,Ecuador - Manabi,M,"18.64km Flavio Alfaro,Manabi"
3.2,0.64° N,80.18° W,6,Near Coast of Ecuador,M,"17.73km Muisne,Esmeraldas"
3.7,0.18° S,80.81° W,2.9,Near Coast of Ecuador,M,"61.05km Jama,Manabi"
3.8,1.50° S,80.95° W,6.2,Near Coast of Ecuador,M,"17.41km Puerto Lopez,Manabi"
3.6,1.20° S,80.98° W,-,Ecuador - Manabi,M,"39.30km Montecristi,Manabi"
4.4,0.16° S,81.05° W,5.3,Off Coast of Ecuador,M,"85.68km Bahia de Caraquez,Manabi"
3.5,0.92° N,79.95° W,6.3,Near Coast of Ecuador,M,"12.69km Atacames,Esmeraldas"
3.7,0.03° S,80.21° W,7.3,Near Coast of Ecuador,M,"19.69km Jama,Manabi"
3.1,0.19° N,80.12° W,16.3,Near Coast of Ecuador,M,"14.79km Pedernales,Manabi"
4.5,0.64° S,81.19° W,10,Off Coast of Ecuador,M,"64.90km Manta,Manabi"
4.5,0.34° N,80.25° W,10.1,Near Coast of Ecuador,M,"37.22km Pedernales,Manabi"
