Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
432,1.03,-79.85,5,3.9," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
433,1.05,-79.88,4.1,3.9," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
434,1.06,-79.86,3.5,4.2," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
436,0.98,-79.86,14.7,3.4," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
437,1.08,-79.85,2.7,4," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
438,1.04,-79.85,5,4.3," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
442,0.97,-79.77,1.5,4.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
443,0.98,-79.95,7.3,3.9," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
444,1.08,-79.95,7.8,3.8," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
445,0.95,-79.87,8.6,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
446,1.06,-79.89,3.1,4.2," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
447,1.07,-79.92,2.8,4," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
448,1.07,-79.94,5.1,4.4," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
449,1.04,-79.86,7.2,3.3," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
450,1.07,-79.85,2.8,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
451,0.94,-79.65,12.4,4.8," Esmeraldas,Esmeraldas",Esmeraldas,4.0 - 4.9,0,
452,1,-79.95,5.3,5.1," Atacames,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
457,1.08,-79.92,7.8,3.4," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
458,1.14,-79.98,6.1,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
462,0.93,-79.74,11.2,3.5," Esmeraldas,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
463,1.02,-79.88,4.5,4.2," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
470,0.99,-79.82,7.3,3.5," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
