"Mag","Depth","Latitude","Longitude","CloserCity","Region","categoryMag","categoryDepth","cluster"
"875",4.1,0.7,1.28,-79.99,"Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"901",3.9,17.5,0.78,-79.78,"Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"902",3.9,9.9,1.18,-79.75,"Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"912",3.7,7.4,0.77,-79.68,"Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"933",3.7,47.3,0.74,-79.28,"Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"987",3.7,6.6,0.4,-79.88,"Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"1012",4,3.3,0.58,-78.67,"Cotacachi,Imbabura","Esmeraldas","4.0 - 4.9","< 60",1
"1013",5.4,3.4,0.6,-78.69,"Cotacachi,Imbabura","Esmeraldas","5.0 - 5.9","< 60",1
"1016",3.5,6.9,0.57,-80.07,"Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1026",3.7,5.7,0.37,-79.9,"Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"1093",3.60388613,6.70734119,0.61,-80.26,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1112",4.44176992,5,1.5,-80.34,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1114",3.71092678,0.37837979,0.56,-80.07,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1152",3.68181421,81.95046997,0.53,-80.08,"nas","Near Coast of Ecuador","3.0 - 3.9","60 - 300",1
"1159",3.58350247,10.19757748,0.52,-80.14,"nas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"1163",3.77294261,3.83179736,0.65,-79.93,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1164",4.43355922,3.02279782,0.63,-80.14,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1190",3.96307734,10,0.72,-80.07,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1191",3.70932543,1.20603359,0.62,-80.26,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1192",3.86637609,8.87561703,0.59,-80.08,"nas","Esmeraldas","3.0 - 3.9","< 60",1
"1206",4.22994652,3.73651099,0.65,-79.91,"nas","Esmeraldas","4.0 - 4.9","< 60",1
"1207",4.40797731,2.82110405,0.7,-80.05,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1208",4.01453859,7.62729025,0.67,-80.13,"nas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"1211",4.04764789,5.13772821,0.63,-80.08,"nas","Esmeraldas","4.0 - 4.9","< 60",1
