"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"3.7,19-05-2016 6:48,0.63? N,80.18? W,10,Near Coast of Ecuador,A,""17.84km Muisne,Esmeraldas"",19-05-2016 11:48,19-05-2016 11:51"
"3.7,19-05-2016 8:54,0.29? N,80.00? W,7.2,Ecuador - Manabi,M,""24.79km Pedernales,Manabi"",19-05-2016 13:54,19-05-2016 13:58"
"3.5,19-05-2016 6:48,0.68? N,80.16? W,6.9,Near Coast of Ecuador,M,""17.26km Muisne,Esmeraldas"",19-05-2016 11:48,19-05-2016 17:58"
"5.2,18-05-2016 11:52,0.44? N,79.83? W,13.3,Near Coast of Ecuador,M,""28.14km Muisne,Esmeraldas"",18-05-2016 16:52,19-05-2016 19:58"
"3,19-05-2016 11:21,1.27? S,78.46? W,3.7,Ecuador - Tungurahua,M,""10.38km Pelileo,Tungurahua"",19-05-2016 16:21,19-05-2016 19:58"
"3.4,19-05-2016 18:53,0.21? S,80.69? W,1.7,Near Coast of Ecuador,M,""47.68km Jama,Manabi"",19-05-2016 23:53,19-05-2016 23:57"
"3.6,20-05-2016 0:08,0.12? S,80.80? W,4.7,Near Coast of Ecuador,M,""60.25km Jama,Manabi"",20-05-2016 5:08,20-05-2016 5:22"
"3.5,20-05-2016 0:24,1.11? S,81.37? W,5.4,Off Coast of Ecuador,M,""74.83km Manta,Manabi"",20-05-2016 5:24,20-05-2016 5:33"
"3.7,20-05-2016 8:11,0.86? S,80.62? W,2.3,Near Coast of Ecuador,M,""11.42km Jaramijo,Manabi"",20-05-2016 13:11,20-05-2016 13:24"
"3.6,20-05-2016 12:12,0.48? N,79.94? W,10.1,Near Coast of Ecuador,M,""16.67km Muisne,Esmeraldas"",20-05-2016 17:12,20-05-2016 17:21"
"4,20-05-2016 17:49,2.86? S,79.56? W,11,Ecuador - Azuay,M,""16.64km Balao,Guayas"",20-05-2016 22:49,20-05-2016 22:56"
"3,20-05-2016 18:50,0.71? N,80.07? W,5,Ecuador - Esmeraldas,M,""11.80km Muisne,Esmeraldas"",20-05-2016 23:50,20-05-2016 23:54"
"3.9,20-05-2016 20:22,2.55? S,77.87? W,10,Ecuador - Morona Santiago,M,""34.63km Sucua,Morona Santiago"",21-05-2016 1:22,21-05-2016 1:27"
"3,21-05-2016 7:26,2.18? S,77.62? W,3,Ecuador - Morona Santiago,M,""56.47km Macas,Morona Santiago"",21-05-2016 12:26,21-05-2016 13:38"
